,Brand,Model,Year,Mileage,Condition,Price,Engine Type,Engine Capacity,Exterior Color,Ratings
0,Toyota,Toyota Corolla,2015,"186,024",Foreign Used,"₦ 7,530,000",4-Cylinder(I4),Approx. 1000,Grey, (4.20)
1,Mercedes-Benz,Mercedes-Benz GLK 350,2015,"87,465",Foreign Used,"₦ 13,530,000",6-Cylinder(V6),Approx. 3,Black, (4.50)
2,Toyota,Toyota Highlander,2008,"142,719",Foreign Used,"₦ 7,230,000",6-Cylinder(V6),Approx. 3500,Red, (4.40)
3,Toyota,Toyota Sienna,2006,"115,232",Foreign Used,"₦ 4,880,000",6-Cylinder(I6),Approx. 3,Gold, (4.50)
4,Hyundai,Hyundai Grand Santa Fe,2013,"110,903",Foreign Used,"₦ 9,015,000",6-Cylinder(V6),Approx. 3300,Silver, (4.00)
5,Honda,Honda Crosstour,2012,"120,661",Foreign Used,"₦ 5,030,000",6-Cylinder(V6),Approx. 3,Silver, (4.50)
6,Toyota,Toyota Camry,2014,"42,677",Foreign Used,"₦ 7,265,000",4-Cylinder(I4),Approx. N/A,Silver, (4.00)
7,Toyota,Toyota Camry,2012,"102,335",Foreign Used,"₦ 6,015,000",4-Cylinder(I4),Approx. 1000,Black, (4.30)
8,Toyota,Toyota Corolla,2011,"80,547",Foreign Used,"₦ 6,015,000",4-Cylinder(I4),Approx. 1000,Black, (4.30)
9,Toyota,Toyota Hiace,2007,"65,234",Foreign Used,"₦ 10,515,000",4-Cylinder(I4),Approx. 2400,Ash, (4.20)
10,Mercedes-Benz,Mercedes-Benz GLK 350,2012,"65,345",Foreign Used,"₦ 10,330,000",6-Cylinder(V6),Approx. 5900,White, (4.40)
11,Toyota,Toyota Highlander,2008,"152,000",Foreign Used,"₦ 10,715,000",6-Cylinder(V6),Approx. 3500,Dark Grey, (4.40)
12,Lexus,Lexus RX 350,2013,"91,276",Foreign Used,"₦ 14,015,000",6-Cylinder(V6),Approx. 3500,Black, (4.40)
13,Toyota,Toyota Matrix,2005,"121,256",Foreign Used,"₦ 3,530,000",4-Cylinder(I4),Approx. N/A,Black, (4.50)
14,Lexus,Lexus RX 350,2011,"96,074",Foreign Used,"₦ 12,030,000",6-Cylinder(V6),Approx. 35000,Red, (4.40)
15,Toyota,Toyota Camry,2009,"98,638",Foreign Used,"₦ 4,965,000",4-Cylinder(I4),Approx. 4800,Dark Grey, (4.40)
16,Toyota,Toyota Camry,2014,"30,382",Locally used,"₦ 7,530,000",4-Cylinder(I4),Approx. 2000,Blue, (3.40)
17,Toyota,Toyota RAV 4,2010,"194,780",Foreign Used,"₦ 6,865,000",6-Cylinder(V6),Approx. 1000,White, (4.20)
18,Hyundai,Hyundai Sonata,2015,"58,900",Locally used,"₦ 5,695,000",6-Cylinder(V6),Approx. 5900,Silver, (3.50)
19,Toyota,Toyota Avalon,2005,"84,740",Foreign Used,"₦ 3,165,000",6-Cylinder(I6),Approx. 3500,Sliver, (4.00)
20,Lexus,Lexus ES 350,2007,"97,852",Foreign Used,"₦ 6,180,000",6-Cylinder(V6),Approx. 2500,Black, (4.50)
21,Toyota,Toyota Corolla,2013,"87,965",Foreign Used,"₦ 5,080,000",4-Cylinder(I4),Approx. 1500,Gray, (4.50)
22,Lexus,Lexus ES 350,2007,"96,452",Foreign Used,"₦ 6,080,000",6-Cylinder(V6),Approx. 2500,Gold, (4.50)
23,Toyota,Toyota Camry,2012,"176,000",Foreign Used,"₦ 6,515,000",4-Cylinder(I4),Approx. N/A,Silver, (4.20)
24,Toyota,Toyota Venza,2013,"201,667",Foreign Used,"₦ 9,815,000",6-Cylinder(V6),Approx. 5900,Black, (4.30)
25,Toyota,Toyota Venza,2011,"133,905",Foreign Used,"₦ 9,630,000",6-Cylinder(V6),Approx. 59000,White, (4.50)
26,Toyota,Toyota Avalon,2006,"229,353",Foreign Used,"₦ 4,330,000",6-Cylinder(V6),Approx. 3500,Silver, (4.30)
27,Toyota,Toyota Camry,2007,"182,000",Foreign Used,"₦ 4,615,000",4-Cylinder(I4),Approx. N/A,Blue, (4.40)
28,Toyota,Toyota Prado TXL,2015,"47,830",Locally used,"₦ 18,715,000",4-Cylinder(I4),Approx. 2000,Black, (4.00)
29,Toyota,Toyota Corolla,2014,"75,236",Foreign Used,"₦ 7,780,000",4-Cylinder(I4),Approx. 2000,Dark Red, (4.50)
30,Toyota,Toyota Highlander,2014,"120,000",Foreign Used,"₦ 15,030,000",6-Cylinder(V6),Approx. 6,White, (4.40)
31,Mercedes-Benz,Mercedes-Benz GLK 350,2010,"173,702",Foreign Used,"₦ 12,030,000",6-Cylinder(V6),Approx. 6,Black, (4.40)
32,Toyota,Toyota Highlander,2010,"155,378",Foreign Used,"₦ 10,015,000",6-Cylinder(V6),Approx. 6,White, (4.40)
33,Lexus,Lexus GX 460,2015,"128,694",Foreign Used,"₦ 26,615,000",8-Cylinder(V8),Approx. N/A,Yellow, (4.30)
34,Toyota,Toyota Camry,2022,"4,013",Foreign Used,"₦ 26,045,000",4-Cylinder(I4),Approx. 1000,Grey, (4.20)
35,Mercedes-Benz,Mercedes-Benz ML 350,2012,"97,739",Foreign Used,"₦ 15,030,000",6-Cylinder(V6),Approx. 3500,Gray, (4.30)
36,Mitsubishi,Mitsubishi L200,2022,50,New,"₦ 20,515,000",6-Cylinder(V6),Approx. 4000,White,
37,Toyota,Toyota Highlander,2013,"163,870",Foreign Used,"₦ 12,315,000",6-Cylinder(I6),Approx. 4000,Black And Orange, (4.00)
38,Toyota,Toyota Camry,2013,"167,937",Locally used,"₦ 4,615,000",4-Cylinder(I4),Approx. 1000,Dark Grey, (4.10)
39,Honda,Honda Crosstour,2010,"59,132",Locally used,"₦ 3,315,000",6-Cylinder(V6),Approx. 1000,Silver, (4.00)
40,Toyota,Toyota Camry,2009,"97,058",Foreign Used,"₦ 4,265,000",4-Cylinder(I4),Approx. 2000,Blue, (4.50)
41,Toyota,Toyota Avalon,2013,"78,130",Locally used,"₦ 9,815,000",6-Cylinder(V6),Approx. N/A,Red, (3.40)
42,Hyundai,Hyundai Sonata,2015,"138,300",Foreign Used,"₦ 6,015,000",4-Cylinder(I4),Approx. N/A,White, (4.20)
43,Toyota,Toyota Hiace,2006,"87,123",Foreign Used,"₦ 10,730,000",4-Cylinder(I4),Approx. 2400,Ash, (4.20)
44,Toyota,Toyota Prado,2014,"94,489",Locally used,"₦ 17,865,000",6-Cylinder(V6),Approx. 4000,Black, (4.00)
45,Toyota,Toyota Camry,2012,"63,784",Foreign Used,"₦ 7,015,000",6-Cylinder(V6),Approx. 1000,Red, (4.00)
46,Toyota,Toyota Highlander,2015,"122,043",Foreign Used,"₦ 12,515,000",6-Cylinder(V6),Approx. 3500,Dark Green, (4.20)
47,Toyota,Toyota Highlander,2015,"81,148",Foreign Used,"₦ 17,030,000",6-Cylinder(V6),Approx. 6,Gold, (4.40)
48,Mercedes-Benz,Mercedes-Benz ML 350,2014,"61,849",Locally used,"₦ 12,530,000",6-Cylinder(V6),Approx. 3500,Black, (3.40)
49,BMW,BMW 325i,2011,"84,120",Foreign Used,"₦ 5,315,000",6-Cylinder(V6),Approx. N/A,Black, (4.40)
50,Toyota,Toyota Highlander,2008,"43,677",Locally used,"₦ 5,230,000",6-Cylinder(V6),Approx. 3500,Black, (3.40)
51,Toyota,Toyota Highlander,2004,"211,522",Foreign Used,"₦ 5,330,000",6-Cylinder(V6),Approx. 3300,Gold, (4.30)
52,Lexus,Lexus IS 250,2008,"144,948",Foreign Used,"₦ 5,730,000",6-Cylinder(V6),Approx. 2500,White, (4.40)
53,Acura,Acura MDX,2007,"94,152",Foreign Used,"₦ 4,515,000",4-Cylinder(I4),Approx. 1000,Black, (4.30)
54,Honda,Honda Crosstour,2012,"142,000",Foreign Used,"₦ 7,215,000",6-Cylinder(V6),Approx. N/A,Silver, (4.40)
55,Toyota,Toyota Corolla,2007,"98,562",Foreign Used,"₦ 4,100,000",4-Cylinder(I4),Approx. 2400,Ash, (4.00)
56,Lexus,Lexus ES 330,2006,"56,234",Foreign Used,"₦ 4,755,000",6-Cylinder(V6),Approx. 5900,Silver, (4.40)
57,Toyota,Toyota Highlander,2015,"64,000",Foreign Used,"₦ 16,830,000",6-Cylinder(V6),Approx. 3500,White, (4.40)
58,Lexus,Lexus ES 330,2004,"56,324",Foreign Used,"₦ 3,915,000",6-Cylinder(V6),Approx. 5900,Silver, (4.50)
59,Nissan,Nissan Frontier,2002,"86,779",Foreign Used,"₦ 4,615,000",2-Cylinder(I2),Approx. 2,Dark Gray, (4.40)
60,Toyota,Toyota Tacoma,2011,"85,346",Foreign Used,"₦ 10,735,000",6-Cylinder(V6),Approx. 5900,Silver, (4.40)
61,Mercedes-Benz,Mercedes-Benz C 300,2015,"113,642",Foreign Used,"₦ 14,015,000",4-Cylinder(I4),Approx. 2000,White, (4.10)
62,Toyota,Toyota Camry,2010,"151,216",Foreign Used,"₦ 4,715,000",4-Cylinder(I4),Approx. 1800,Blue, (4.30)
63,Pontiac,Pontiac Vibe,2003,"97,053",Foreign Used,"₦ 3,180,000",4-Cylinder(I4),Approx. 1500,White, (4.50)
64,Toyota,Toyota Corolla,2011,"125,107",Foreign Used,"₦ 5,600,000",4-Cylinder(I4),Approx. 1800,Grey, (4.20)
65,Mercedes-Benz,Mercedes-Benz CLS 550,2016,"28,000",Foreign Used,"₦ 23,015,000",6-Cylinder(V6),Approx. N/A,White, (4.50)
66,Mercedes-Benz,Mercedes-Benz E 350,2014,"73,000",Foreign Used,"₦ 12,865,000",6-Cylinder(V6),Approx. N/A,Black, (4.40)
67,Toyota,Toyota Camry,2014,"72,300",Foreign Used,"₦ 7,215,000",4-Cylinder(I4),Approx. N/A,Red, (4.40)
68,Toyota,Toyota Highlander,2008,"240,500",Foreign Used,"₦ 9,015,000",6-Cylinder(V6),Approx. N/A,Silver, (4.20)
69,Toyota,Toyota Tacoma,2016,"145,000",Foreign Used,"₦ 16,515,000",6-Cylinder(V6),Approx. N/A,Grey, (4.20)
70,Toyota,Toyota Camry,2013,"185,328",Foreign Used,"₦ 7,260,000",4-Cylinder(I4),Approx. 59000,Dark Red, (4.30)
71,Toyota,Toyota Land Cruiser Prado VX.L,2017,"27,225",Foreign Used,"₦ 26,415,000",6-Cylinder(I6),Approx. 4400,White, (4.00)
72,Toyota,Toyota 4-Runner,2007,"88,977",Foreign Used,"₦ 7,446,000",6-Cylinder(V6),Approx. 5900,Black, (4.40)
73,Ford,Ford Edge SE 2.0L,2013,"85,100",Foreign Used,"₦ 6,515,000",6-Cylinder(V6),Approx. N/A,White, (4.40)
74,Toyota,Toyota RAV 4,2013,"104,902",Foreign Used,"₦ 15,515,000",4-Cylinder(I4),Approx. 1000,Grey, (4.40)
75,Acura,Acura MDX,2019,"1,987",Foreign Used,"₦ 20,515,000",6-Cylinder(V6),Approx. N/A,Black, (4.50)
76,Toyota,Toyota RAV 4,2010,"138,661",Foreign Used,"₦ 6,815,000",4-Cylinder(I4),Approx. 2500,White, (4.00)
77,Toyota,Toyota Matrix,2009,"165,510",Foreign Used,"₦ 5,015,000",4-Cylinder(I4),Approx. N/A,Blue, (4.40)
78,Toyota,Toyota RAV 4,2015,"122,441",Foreign Used,"₦ 11,015,000",4-Cylinder(I4),Approx. N/A,Brown, (4.20)
79,Toyota,Toyota Highlander,2013,"58,955",Foreign Used,"₦ 14,015,000",6-Cylinder(V6),Approx. N/A,Blue, (4.40)
80,Mercedes-Benz,Mercedes-Benz S 560,2021,"2,271",Locally used,"₦ 90,015,000",8-Cylinder(V8),Approx. 6000,Blanc, (3.50)
81,Toyota,Toyota Sienna,2004,"138,253",Foreign Used,"₦ 4,515,000",6-Cylinder(V6),Approx. 3,Gold, (4.50)
82,Toyota,Toyota Highlander,2017,"71,533",Foreign Used,"₦ 24,030,000",6-Cylinder(V6),Approx. 1000,Black, (4.40)
83,Honda,Honda Accord,2015,"59,350",Locally used,"₦ 8,830,000",6-Cylinder(V6),Approx. 59000,White, (3.50)
84,Toyota,Toyota Highlander,2008,"88,136",Locally used,"₦ 6,030,000",6-Cylinder(V6),Approx. 5900,Dark Grey, (3.50)
85,Mercedes-Benz,Mercedes-Benz C 300,2010,"146,300",Foreign Used,"₦ 6,815,000",6-Cylinder(V6),Approx. N/A,Red, (4.40)
86,Mercedes-Benz,Mercedes-Benz E 350,2010,"58,109",Foreign Used,"₦ 6,515,000",4-Cylinder(I4),Approx. 2,Black, (4.00)
87,Lexus,Lexus RX 350,2011,"88,384",Foreign Used,"₦ 11,530,000",6-Cylinder(V6),Approx. 3500,Black, (4.40)
88,Toyota,Toyota Highlander,2014,"56,512",Foreign Used,"₦ 15,515,000",6-Cylinder(V6),Approx. N/A,Black, (4.40)
89,Toyota,Toyota Highlander,2009,"85,419",Foreign Used,"₦ 9,015,000",6-Cylinder(V6),Approx. 1000,Silver, (4.40)
90,Honda,Honda Accord,2013,"138,860",Foreign Used,"₦ 7,830,000",6-Cylinder(V6),Approx. 59000,Eiger Grey, (4.30)
91,Mercedes-Benz,Mercedes-Benz E 350,2012,"167,325",Foreign Used,"₦ 9,530,000",6-Cylinder(V6),Approx. 1500,Black, (4.20)
92,Mercedes-Benz,Mercedes-Benz E 350,2010,"84,215",Foreign Used,"₦ 7,765,000",6-Cylinder(V6),Approx. 1000,White, (4.40)
93,Toyota,Toyota RAV 4,2007,"54,662",Foreign Used,"₦ 5,515,000",6-Cylinder(V6),Approx. N/A,Silver, (4.30)
94,Toyota,Toyota Camry,2016,"64,031",Locally used,"₦ 8,315,000",6-Cylinder(V6),Approx. N/A,Silver, (3.40)
95,Lexus,Lexus GX 460,2011,"87,268",Foreign Used,"₦ 18,115,000",8-Cylinder(V8),Approx. 3500,Sliver, (4.00)
96,Toyota,Toyota Highlander,2018,"20,926",Locally used,"₦ 21,545,000",6-Cylinder(V6),Approx. 3500,Green, (4.00)
97,Toyota,Toyota Venza,2009,"84,998",Foreign Used,"₦ 8,515,000",6-Cylinder(V6),Approx. 1000,Grey, (4.40)
98,Toyota,Toyota Corolla,2015,"68,966",Foreign Used,"₦ 8,130,000",4-Cylinder(I4),Approx. 2000,Black, (4.50)
99,Toyota,Toyota Sienna,2007,"86,963",Foreign Used,"₦ 5,780,000",6-Cylinder(I6),Approx. 2500,Silver, (4.50)
100,Toyota,Toyota Sienna,2013,"96,328",Foreign Used,"₦ 8,130,000",6-Cylinder(V6),Approx. 2500,Red Wine, (4.50)
101,Honda,Honda Accord,2014,"96,760",Foreign Used,"₦ 7,030,000",4-Cylinder(I4),Approx. 2,Off White, (4.40)
102,Toyota,Toyota Camry,2012,"124,998",Foreign Used,"₦ 7,530,000",4-Cylinder(I4),Approx. 1500,Silver, (4.40)
103,Land,Land Rover Range Rover,2014,"44,492",Foreign Used,"₦ 35,030,000",6-Cylinder(V6),Approx. 1500,White, (4.40)
104,Toyota,Toyota Highlander,2018,"72,807",Foreign Used,"₦ 23,015,000",6-Cylinder(V6),Approx. 3300,Dark Gray, (4.20)
105,Toyota,Toyota RAV 4,2010,"99,583",Foreign Used,"₦ 7,015,000",4-Cylinder(I4),Approx. N/A,Dark Green, (4.40)
106,Land,Land Rover range rover Hse,2013,"150,599",Foreign Used,"₦ 30,015,000",8-Cylinder(V8),Approx. N/A,Black, (4.30)
107,Toyota,Toyota Camry,2012,"62,567",Foreign Used,"₦ 6,615,000",4-Cylinder(I4),Approx. 200,Dark Gray, (4.40)
108,Lexus,Lexus RX 350,2010,"89,975",Foreign Used,"₦ 11,530,000",6-Cylinder(V6),Approx. 3500,Dark Gray, (4.40)
109,Lexus,Lexus RX 350,2015,"106,430",Foreign Used,"₦ 14,830,000",6-Cylinder(V6),Approx. 3500,Wine, (4.20)
110,Honda,Honda Accord,2014,"62,355",Foreign Used,"₦ 7,030,000",4-Cylinder(I4),Approx. 2400,Black, (4.40)
111,Mercedes-Benz,Mercedes-Benz CLA 250,2014,"75,776",Foreign Used,"₦ 12,530,000",4-Cylinder(I4),Approx. 2000,Grey, (4.40)
112,Toyota,Toyota Hilux,2018,"30,341",Foreign Used,"₦ 32,515,000",4-Cylinder(I4),Approx. 2400,White, (4.40)
113,Toyota,Toyota Camry,2010,"58,667",Foreign Used,"₦ 5,815,000",4-Cylinder(I4),Approx. N/A,Silver, (4.30)
114,Toyota,Toyota Corolla,2007,"82,879",Foreign Used,"₦ 3,915,000",4-Cylinder(I4),Approx. N/A,Black, (4.50)
115,Toyota,Toyota Corolla,2005,"73,491",Foreign Used,"₦ 3,915,000",4-Cylinder(I4),Approx. N/A,Gold, (4.50)
116,Toyota,Toyota Corolla,2013,"85,042",Foreign Used,"₦ 6,215,000",4-Cylinder(I4),Approx. 3000,Ash, (4.30)
117,Mercedes-Benz,Mercedes-Benz E 350,2010,"142,730",Foreign Used,"₦ 7,915,000",6-Cylinder(V6),Approx. 3300,Dark Grey, (4.00)
118,Toyota,Toyota Sienna,2004,"171,805",Locally used,"₦ 3,215,000",6-Cylinder(V6),Approx. N/A,Blue, (3.40)
119,Lexus,Lexus ES 350,2013,"77,300",Locally used,"₦ 7,430,000",6-Cylinder(I6),Approx. 3,Black, (3.40)
120,Ford,Ford Edge,2012,"93,576",Foreign Used,"₦ 7,580,000",6-Cylinder(I6),Approx. 2000,Blue, (4.50)
121,Honda,Honda Pilot,2012,"98,535",Foreign Used,"₦ 6,780,000",6-Cylinder(V6),Approx. 2500,Gray, (4.50)
122,Honda,Honda Crosstour,2010,"153,724",Foreign Used,"₦ 6,330,000",4-Cylinder(I4),Approx. 2,Grey, (4.50)
123,Mercedes-Benz,Mercedes-Benz C 300,2011,"70,721",Foreign Used,"₦ 7,330,000",6-Cylinder(V6),Approx. 1500,White, (4.40)
124,Kia,Kia Sorento,2007,"203,306",Locally used,"₦ 1,615,000",6-Cylinder(V6),Approx. 1500,Silver, (3.40)
125,MINI,MINI Cooper S Clubman,2016,"21,513",Foreign Used,"₦ 15,015,000",4-Cylinder(I4),Approx. 2000,Green, (4.40)
126,Mercedes-Benz,Mercedes-Benz C 300,2010,"39,260",Foreign Used,"₦ 7,515,000",6-Cylinder(V6),Approx. 3500,White, (4.40)
127,Mercedes-Benz,Mercedes-Benz C 300,2012,"40,226",Foreign Used,"₦ 7,515,000",6-Cylinder(V6),Approx. 3500,Silver, (4.00)
128,Lexus,Lexus ES 350,2011,"163,562",Foreign Used,"₦ 7,515,000",6-Cylinder(V6),Approx. 3500,White, (4.40)
129,Toyota,Toyota Corolla,2005,"45,755",Foreign Used,"₦ 3,915,000",4-Cylinder(I4),Approx. 1008,Silver, (4.00)
130,Mercedes-Benz,Mercedes-Benz CLS 550,2007,"68,777",Foreign Used,"₦ 5,515,000",8-Cylinder(V8),Approx. N/A,Silver, (4.40)
131,Lexus,Lexus ES 300,2005,"100,000",Foreign Used,"₦ 3,815,000",6-Cylinder(V6),Approx. 3300,Blue, (4.40)
132,Toyota,Toyota Avalon,2014,"65,235",Foreign Used,"₦ 11,015,000",6-Cylinder(V6),Approx. 3500,Black, (4.00)
133,Toyota,Toyota Camry,2016,"116,761",Foreign Used,"₦ 11,515,000",6-Cylinder(I6),Approx. 6,Black, (4.20)
134,Toyota,Toyota Sienna,2006,"121,556",Foreign Used,"₦ 5,015,000",6-Cylinder(V6),Approx. 3,Gold, (4.00)
135,Toyota,Toyota Highlander,2009,"185,657",Locally used,"₦ 5,730,000",6-Cylinder(V6),Approx. 3500,Wine, (3.40)
136,Lexus,Lexus RX 350,2009,"209,823",Foreign Used,"₦ 7,530,000",6-Cylinder(V6),Approx. 3500,Blue Light, (4.20)
137,Lexus,Lexus ES 350,2012,"155,396",Foreign Used,"₦ 7,615,000",6-Cylinder(V6),Approx. 6,White, (4.20)
138,Toyota,Toyota Corolla,2004,"96,000",Foreign Used,"₦ 3,715,000",4-Cylinder(I4),Approx. 1,Metallic Silver, (4.30)
139,Toyota,Toyota Landcruiser Prado,2017,"45,000",Foreign Used,"₦ 27,530,000",4-Cylinder(I4),Approx. 35000,Black, (4.30)
140,Ford,Ford Edge,2013,"82,592",Foreign Used,"₦ 5,530,000",6-Cylinder(I6),Approx. N/A,Silver, (4.50)
141,Toyota,Toyota Camry,2007,"103,360",Foreign Used,"₦ 4,730,000",4-Cylinder(I4),Approx. 2500,Beige, (4.20)
142,Toyota,Toyota Camry,2003,"11,903",Foreign Used,"₦ 3,495,000",6-Cylinder(V6),Approx. 5900,Dark Green, (4.50)
143,Toyota,Toyota Sienna,2012,"62,727",Foreign Used,"₦ 7,830,000",6-Cylinder(I6),Approx. N/A,Blue, (4.50)
144,Toyota,Toyota Camry,2011,"73,281",Foreign Used,"₦ 4,930,000",4-Cylinder(I4),Approx. 2,Black, (4.00)
145,Kia,Kia Optima,2009,"229,442",Foreign Used,"₦ 2,715,000",4-Cylinder(I4),Approx. 1000,Dark Grey, (4.00)
146,Toyota,Toyota Camry,2011,"88,569",Foreign Used,"₦ 4,930,000",4-Cylinder(I4),Approx. 2,Black, (4.00)
147,Honda,Honda Accord,2009,"188,758",Foreign Used,"₦ 3,840,000",4-Cylinder(I4),Approx. 59000,Citrine Brown Metallic Finish, (4.40)
148,Lexus,Lexus RX 350,2012,"82,205",Foreign Used,"₦ 13,830,000",6-Cylinder(V6),Approx. 1000,Red Wine, (4.30)
149,Lexus,Lexus GX 460,2014,"51,221",Foreign Used,"₦ 26,730,000",6-Cylinder(V6),Approx. 1000,White, (4.40)
150,Honda,Honda Pilot,2011,"78,356",Foreign Used,"₦ 8,830,000",6-Cylinder(I6),Approx. 1000,Black, (4.30)
151,Toyota,Toyota Sienna,2008,"158,658",Foreign Used,"₦ 5,030,000",6-Cylinder(V6),Approx. 3500,White, (4.00)
152,Toyota,Toyota Camry,2013,"89,260",Foreign Used,"₦ 6,915,000",4-Cylinder(I4),Approx. N/A,Black, (4.40)
153,Toyota,Toyota Corolla,2004,"76,961",Foreign Used,"₦ 3,660,000",4-Cylinder(I4),Approx. 1800,Dark Grey, (4.40)
154,Toyota,Toyota Corolla,2010,"125,111",Foreign Used,"₦ 4,730,000",4-Cylinder(I4),Approx. N/A,Red, (4.50)
155,Toyota,Toyota Camry,2011,"131,556",Foreign Used,"₦ 4,630,000",6-Cylinder(V6),Approx. 3,Black, (4.50)
156,Honda,Honda Pilot,2011,"207,437",Foreign Used,"₦ 6,030,000",6-Cylinder(V6),Approx. 3500,Wine, (4.10)
157,Toyota,Toyota Camry,2014,"89,543",Foreign Used,"₦ 7,030,000",4-Cylinder(I4),Approx. 2500,Black, (4.40)
158,Lexus,Lexus GX 460,2014,"138,876",Foreign Used,"₦ 26,815,000",8-Cylinder(V8),Approx. 4,Grey, (4.00)
159,Mercedes-Benz,Mercedes-Benz GLK 350,2011,"197,488",Foreign Used,"₦ 9,730,000",6-Cylinder(V6),Approx. 1000,Black, (4.10)
160,Lexus,Lexus GX 460,2013,"166,858",Foreign Used,"₦ 17,515,000",6-Cylinder(V6),Approx. 1000,Gold, (4.20)
161,Mercedes-Benz,Mercedes-Benz GLE 450,2016,"59,597",Foreign Used,"₦ 40,615,000",6-Cylinder(I6),Approx. 1000,Red, (4.00)
162,Toyota,Toyota Corolla,2016,"69,000",Foreign Used,"₦ 7,830,000",4-Cylinder(I4),Approx. 1,Red, (4.40)
163,Toyota,Toyota Camry,2003,"100,427",Foreign Used,"₦ 3,330,000",4-Cylinder(I4),Approx. 2400,Silver, (4.30)
164,Mercedes-Benz,Mercedes-Benz C 300,2015,"97,018",Foreign Used,"₦ 15,030,000",4-Cylinder(I4),Approx. 4,Grey, (4.20)
