,Brand,Model,Year,Mileage,Condition,Price,Engine Type,Engine Capacity,Exterior Color,Ratings
331,Toyota,Toyota Camry,2010,"79,188",Foreign Used,"₦ 5,415,000",4-Cylinder(I4),Approx. 2500,Golden Yellow, (4.00)
332,Chevrolet,Chevrolet Cruze,2014,"58,653",Foreign Used,"₦ 4,515,000",4-Cylinder(I4),Approx. 1400,Dark Grey, (4.20)
333,Mercedes-Benz,Mercedes-Benz GLE 400,2016,"73,000",Foreign Used,"₦ 28,015,000",6-Cylinder(V6),Approx. 3500,White, (4.00)
334,Mercedes-Benz,Mercedes-Benz C 300,2012,"97,573",Locally used,"₦ 7,515,000",6-Cylinder(V6),Approx. 3,Grey, (4.50)
335,Lexus,Lexus RX 350,2013,"103,195",Foreign Used,"₦ 14,515,000",6-Cylinder(V6),Approx. 3400,Silver, (4.40)
336,Toyota,Toyota Highlander,2011,"34,259",Foreign Used,"₦ 11,530,000",6-Cylinder(V6),Approx. N/A,Gray, (3.30)
337,Hyundai,Hyundai Sonata,2012,"110,657",Foreign Used,"₦ 5,715,000",4-Cylinder(I4),Approx. N/A,White, (4.00)
338,Ford,Ford Edge,2010,"97,654",Foreign Used,"₦ 5,145,000",6-Cylinder(V6),Approx. 1000,White, (4.40)
339,Lexus,Lexus RX 350,2012,"192,194",Foreign Used,"₦ 11,015,000",6-Cylinder(V6),Approx. 2350,Ash, (4.10)
340,Lexus,Lexus GX 460,2014,"123,751",Foreign Used,"₦ 26,015,000",6-Cylinder(V6),Approx. 3300,Off-White, (4.30)
341,Toyota,Toyota Camry,2006,"115,000",Foreign Used,"₦ 3,510,000",4-Cylinder(I4),Approx. N/A,White, (4.00)
342,Toyota,Toyota Camry,2009,"130,248",Foreign Used,"₦ 4,130,000",4-Cylinder(I4),Approx. 1,Dark Silver, (4.40)
343,Toyota,Toyota Corolla,2016,"160,654",Foreign Used,"₦ 7,715,000",4-Cylinder(I4),Approx. 2500,Red, (4.00)
344,Toyota,Toyota Camry,2007,"76,000",Foreign Used,"₦ 4,515,000",4-Cylinder(I4),Approx. 1,Dark Gray, (4.00)
345,Toyota,Toyota Camry,2012,"62,597",Locally used,"₦ 6,815,000",4-Cylinder(I4),Approx. 2500,Black, (4.00)
346,Toyota,Toyota Camry,2018,"85,000",Foreign Used,"₦ 15,015,000",4-Cylinder(I4),Approx. 1000,Silver, (4.20)
347,Toyota,Toyota Camry,2005,"86,790",Foreign Used,"₦ 3,330,000",4-Cylinder(I4),Approx. 2200,Gold, (4.00)
348,Toyota,Toyota Highlander,2014,"44,871",Foreign Used,"₦ 15,515,000",6-Cylinder(I6),Approx. 1000,Black, (4.40)
349,Toyota,Toyota Camry,2010,"58,268",Foreign Used,"₦ 5,830,000",4-Cylinder(I4),Approx. N/A,Gold, (4.20)
350,Toyota,Toyota Highlander,2006,"180,340",Locally used,"₦ 4,615,000",6-Cylinder(I6),Approx. N/A,Silver, (3.50)
351,Toyota,Toyota Camry,2009,"195,621",Foreign Used,"₦ 4,715,000",4-Cylinder(I4),Approx. 1000,Black, (4.00)
352,Toyota,Toyota Camry,2007,0,Foreign Used,"₦ 4,445,000",4-Cylinder(I4),Approx. N/A,Silver, (4.00)
353,Toyota,Toyota Tundra,2010,"210,604",Foreign Used,"₦ 9,506,000",8-Cylinder(V8),Approx. N/A,Red, (4.00)
354,Toyota,Toyota Highlander,2016,"68,987",Foreign Used,"₦ 15,840,000",6-Cylinder(V6),Approx. N/A,Maroon, (4.00)
355,Mercedes-Benz,Mercedes-Benz GLE 350,2016,"42,210",Foreign Used,"₦ 25,020,000",6-Cylinder(V6),Approx. N/A,White, (4.40)
356,Lexus,Lexus RX 350,2013,"74,653",Foreign Used,"₦ 12,270,000",6-Cylinder(V6),Approx. N/A,White, (4.00)
357,Lexus,Lexus RX 350,2010,"94,554",Foreign Used,"₦ 9,815,000",6-Cylinder(V6),Approx. N/A,Black, (4.50)
358,Toyota,Toyota Camry,2013,"21,748",Foreign Used,"₦ 6,519,000",4-Cylinder(I4),Approx. N/A,Red, (4.00)
359,Toyota,Toyota Camry,2013,"147,643",Locally used,"₦ 4,815,000",4-Cylinder(H4),Approx. 1000,Gray, (3.20)
360,Toyota,Toyota Corolla,2008,"96,589",Foreign Used,"₦ 4,230,000",4-Cylinder(I4),Approx. 1500,Dark Grey, (4.50)
361,Toyota,Toyota Sienna,2006,"147,404",Locally used,"₦ 5,280,000",6-Cylinder(V6),Approx. N/A,Dark Grey, (4.40)
362,Acura,Acura ZDX,2013,0,Foreign Used,"₦ 11,250,000",6-Cylinder(V6),Approx. 3,White, (4.40)
363,Toyota,Toyota RAV 4,2009,"129,000",Foreign Used,"₦ 7,240,000",6-Cylinder(V6),Approx. N/A,White, (4.40)
364,Toyota,Toyota Camry,2013,"141,944",Locally used,"₦ 5,115,000",4-Cylinder(I4),Approx. N/A,Black, (3.20)
365,Lexus,Lexus ES 350,2013,"48,220",Foreign Used,"₦ 13,515,000",6-Cylinder(I6),Approx. N/A,Silver, (4.20)
366,Pontiac,Pontiac Vibe,2009,0,Foreign Used,"₦ 4,440,000",4-Cylinder(I4),Approx. 3,Black, (4.40)
367,Toyota,Toyota Sienna,2006,"85,881",Foreign Used,"₦ 4,815,000",6-Cylinder(V6),Approx. N/A,Grey, (4.50)
368,Toyota,Toyota Highlander,2011,"53,214",Foreign Used,"₦ 10,215,000",6-Cylinder(V6),Approx. N/A,Grey, (4.00)
369,Toyota,Toyota Sienna,2015,"115,384",Foreign Used,"₦ 14,515,000",6-Cylinder(V6),Approx. 3500,Ash, (4.00)
370,Mercedes-Benz,Mercedes-Benz 350,2011,"169,508",Foreign Used,"₦ 6,815,000",6-Cylinder(I6),Approx. 2,Off White, (4.30)
371,Toyota,Toyota 4-Runner,2006,"102,571",Locally used,"₦ 6,725,000",6-Cylinder(V6),Approx. N/A,Red, (4.40)
372,Toyota,Toyota Corolla,2010,"194,955",Foreign Used,"₦ 5,315,000",4-Cylinder(I4),Approx. 1800,Blue, (4.10)
373,Toyota,Toyota Corolla,2010,"208,720",Foreign Used,"₦ 5,365,000",4-Cylinder(I4),Approx. 1800,Red, (4.00)
374,Chevrolet,Chevrolet Malibu,2017,"76,208",Foreign Used,"₦ 14,230,000",4-Cylinder(I4),Approx. 2500,Yellow, (4.00)
375,Toyota,Toyota Tacoma,2010,"126,604",Foreign Used,"₦ 11,515,000",6-Cylinder(V6),Approx. N/A,Dark Grey, (4.40)
376,Toyota,Toyota Tacoma,2006,"87,607",Foreign Used,"₦ 10,015,000",6-Cylinder(V6),Approx. N/A,Red, (4.00)
377,Lexus,Lexus IS 250,2014,"44,597",Foreign Used,"₦ 13,015,000",6-Cylinder(V6),Approx. 2500,White, (4.30)
378,Toyota,Toyota Hilux,2022,10,New,"₦ 38,230,000",4-Cylinder(I4),Approx. 2,Black,
379,Toyota,Toyota Tacoma,2008,"126,412",Foreign Used,"₦ 10,015,000",6-Cylinder(V6),Approx. N/A,Grey, (4.20)
380,Toyota,Toyota Hilux,2009,"335,817",Foreign Used,"₦ 10,515,000",4-Cylinder(I4),Approx. N/A,White, (4.20)
381,Mitsubishi,Mitsubishi L200,2021,"1,179",Locally used,"₦ 24,015,000",4-Cylinder(I4),Approx. N/A,White, (3.50)
382,Honda,Honda Accord,2012,"174,778",Foreign Used,"₦ 5,015,000",4-Cylinder(I4),Approx. N/A,Grey, (4.00)
383,Honda,Honda Crosstour,2013,"168,249",Foreign Used,"₦ 7,845,000",6-Cylinder(V6),Approx. N/A,Silver, (4.30)
384,Toyota,Toyota Sienna,2013,"70,609",Foreign Used,"₦ 7,961,000",6-Cylinder(V6),Approx. N/A,White, (4.40)
385,Toyota,Toyota Corolla,2009,"75,709",Foreign Used,"₦ 5,015,000",4-Cylinder(I4),Approx. 1800,Dark Grey, (4.20)
386,Toyota,Toyota Corolla,2017,"112,004",Foreign Used,"₦ 10,615,000",4-Cylinder(I4),Approx. N/A,Dark Green, (4.00)
387,Toyota,Toyota Highlander,2010,"75,649",Foreign Used,"₦ 10,015,000",6-Cylinder(V6),Approx. N/A,White, (4.30)
388,Ford,Ford Edge TIT. 3.5L,2016,"89,016",Foreign Used,"₦ 12,415,000",6-Cylinder(V6),Approx. 3300,Dark Gray, (4.40)
389,Toyota,Toyota Sienna,2011,"34,838",Foreign Used,"₦ 10,230,000",6-Cylinder(I6),Approx. N/A,Grey, (4.30)
390,Mercedes-Benz,Mercedes-Benz E 350,2013,"78,147",Foreign Used,"₦ 12,015,000",6-Cylinder(V6),Approx. N/A,Grey, (4.30)
391,Mercedes-Benz,Mercedes-Benz GLC 300,2018,"80,012",Foreign Used,"₦ 23,015,000",6-Cylinder(V6),Approx. 3500,White, (4.30)
392,Toyota,Toyota Solara,2007,"185,652",Foreign Used,"₦ 4,115,000",6-Cylinder(I6),Approx. N/A,Red, (4.00)
393,Toyota,Toyota Highlander,2016,"97,761",Foreign Used,"₦ 16,730,000",6-Cylinder(V6),Approx. 1000,Grey, (4.20)
394,Toyota,Toyota Tacoma,2011,"83,510",Foreign Used,"₦ 12,530,000",6-Cylinder(V6),Approx. 1000,Grey, (4.20)
395,Toyota,Toyota Highlander,2014,"102,291",Foreign Used,"₦ 16,015,000",6-Cylinder(V6),Approx. 3500,Light Blue, (4.30)
396,Toyota,Toyota Sienna,2009,"87,955",Foreign Used,"₦ 4,730,000",6-Cylinder(V6),Approx. 6,Green, (4.30)
397,Toyota,Toyota Camry,2005,"185,802",Foreign Used,"₦ 4,515,000",4-Cylinder(I4),Approx. N/A,Grey, (4.00)
398,Lexus,Lexus RX 330,2004,"85,650",Foreign Used,"₦ 6,780,000",6-Cylinder(V6),Approx. 2500,Black, (4.40)
399,Toyota,Toyota Hilux,2021,71,New,"₦ 39,795,000",4-Cylinder(I4),Approx. N/A,White,
400,Toyota,Toyota Hilux,2021,98,New,"₦ 39,795,000",4-Cylinder(I4),Approx. N/A,Black,
401,Toyota,Toyota Hilux,2021,446,New,"₦ 39,795,000",4-Cylinder(I4),Approx. N/A,White,
402,Toyota,Toyota Camry,2011,"102,517",Foreign Used,"₦ 6,210,000",6-Cylinder(V6),Approx. 10,Silver, (4.30)
403,Toyota,Toyota Highlander,2012,"195,893",Foreign Used,"₦ 11,015,000",6-Cylinder(V6),Approx. N/A,White, (4.00)
404,Mercedes-Benz,Mercedes-Benz GL 450,2013,"85,743",Foreign Used,"₦ 17,365,000",8-Cylinder(V8),Approx. 1000,Sliver, (4.40)
405,Toyota,Toyota Sienna,2015,"79,882",Foreign Used,"₦ 16,315,000",6-Cylinder(V6),Approx. N/A,Beige, (4.30)
406,Jaguar,Jaguar XJ,2011,"16,296",Foreign Used,"₦ 24,015,000",8-Cylinder(V8),Approx. 3500,Black, (4.30)
407,Hyundai,Hyundai Sonata,2013,"298,167",Foreign Used,"₦ 5,115,000",4-Cylinder(I4),Approx. 1000,Gray, (4.20)
408,Hyundai,Hyundai Sonata,2014,"244,934",Foreign Used,"₦ 5,265,000",4-Cylinder(I4),Approx. 1000,Gray, (4.20)
409,Hyundai,Hyundai Sonata,2013,"98,539",Foreign Used,"₦ 5,015,000",4-Cylinder(I4),Approx. 4,Gray, (4.00)
410,Toyota,Toyota Corolla,2010,"75,218",Foreign Used,"₦ 4,900,500",4-Cylinder(I4),Approx. N/A,Black, (4.00)
411,Chrysler,Chrysler 300C,2015,"172,739",Foreign Used,"₦ 7,515,000",6-Cylinder(V6),Approx. 3,White, (4.30)
412,Toyota,Toyota Venza,2011,"77,664",Foreign Used,"₦ 8,515,000",4-Cylinder(I4),Approx. N/A,Silver, (4.30)
413,Toyota,Toyota Corolla,2015,"14,279",Foreign Used,"₦ 7,330,000",4-Cylinder(I4),Approx. 2500,Dark Green, (4.00)
414,Toyota,Toyota Camry,2012,"213,068",Foreign Used,"₦ 7,730,000",4-Cylinder(I4),Approx. N/A,Blue, (4.00)
415,Toyota,Toyota RAV 4,2009,"113,857",Foreign Used,"₦ 6,815,000",6-Cylinder(V6),Approx. N/A,Dark Blue, (4.00)
416,Toyota,Toyota Camry,2009,"68,957",Foreign Used,"₦ 4,715,000",4-Cylinder(I4),Approx. 2400,Black, (4.10)
417,Mercedes-Benz,Mercedes-Benz ML 350,2013,"85,235",Foreign Used,"₦ 15,045,000",6-Cylinder(V6),Approx. 3500,Black, (4.00)
418,Toyota,Toyota Corolla,2015,"169,808",Foreign Used,"₦ 7,215,000",4-Cylinder(I4),Approx. N/A,Blue, (4.00)
419,Lexus,Lexus GX 460,2020,211,New,"₦ 60,515,000",8-Cylinder(V8),Approx. N/A,Black,
420,Toyota,Toyota Tacoma,2020,78,New,"₦ 30,615,000",6-Cylinder(V6),Approx. N/A,Silver,
421,Lexus,Lexus ES 330,2006,"85,243",Foreign Used,"₦ 4,730,000",6-Cylinder(V6),Approx. 350,Silver, (4.50)
422,Honda,Honda Civic,2006,"92,122",Foreign Used,"₦ 3,215,000",4-Cylinder(I4),Approx. 1800,Blue, (4.00)
423,MINI,MINI Cooper S Countryman,2013,"114,770",Foreign Used,"₦ 6,515,000",4-Cylinder(I4),Approx. N/A,Silver, (4.30)
424,Toyota,Toyota RAV 4,2015,"98,442",Foreign Used,"₦ 12,015,000",4-Cylinder(I4),Approx. 2,Black, (4.40)
425,Toyota,Toyota Venza,2009,"148,035",Foreign Used,"₦ 10,530,000",6-Cylinder(V6),Approx. N/A,White, (4.10)
426,Lexus,Lexus RX 330,2004,"200,000",Foreign Used,"₦ 6,975,000",6-Cylinder(V6),Approx. N/A,Black, (4.30)
427,Lexus,Lexus RX 350,2014,"67,553",Foreign Used,"₦ 15,795,000",6-Cylinder(V6),Approx. N/A,Blue, (4.00)
428,Toyota,Toyota RAV 4,2019,"34,006",Foreign Used,"₦ 24,515,000",4-Cylinder(I4),Approx. 2,Dark Grey, (4.50)
429,Toyota,Toyota Corolla,2009,"85,221",Locally used,"₦ 3,330,000",4-Cylinder(I4),Approx. 1,Grey, (3.30)
430,Lexus,Lexus GX 460,2010,"7,306",Foreign Used,"₦ 20,015,000",6-Cylinder(V6),Approx. 4000,Black, (4.50)
431,Lexus,Lexus RX 350,2013,"116,295",Foreign Used,"₦ 14,465,000",6-Cylinder(V6),Approx. N/A,White, (4.40)
432,Mercedes-Benz,Mercedes-Benz ML 350,2014,"134,932",Foreign Used,"₦ 11,515,000",6-Cylinder(V6),Approx. N/A,Black, (4.10)
433,Mercedes-Benz,Mercedes-Benz GLK 350,2012,"90,710",Foreign Used,"₦ 11,530,000",6-Cylinder(V6),Approx. 1000,Silver, (4.30)
434,Mercedes-Benz,Mercedes-Benz GLK 350,2011,"98,624",Foreign Used,"₦ 11,015,000",6-Cylinder(V6),Approx. 1000,Grey, (4.00)
435,Toyota,Toyota Venza,2013,"67,729",Foreign Used,"₦ 12,515,000",6-Cylinder(V6),Approx. 1000,Silver, (4.00)
436,Toyota,Toyota Highlander,2006,"206,567",Foreign Used,"₦ 5,715,000",6-Cylinder(V6),Approx. N/A,Grey, (4.30)
437,Suzuki,Suzuki Every,2012,"124,145",Foreign Used,"₦ 2,030,000",3-Cylinder(I3),Approx. 1,Ash, (4.00)
438,Suzuki,Suzuki Celerio GL,2022,0,New,"₦ 7,900,000",4-Cylinder(I4),Approx. N/A,Red,
439,Infiniti,Infiniti FX 35,2011,"184,995",Locally used,"₦ 5,915,000",6-Cylinder(V6),Approx. 3,Brown, (3.00)
440,Ford,Ford Edge,2007,"105,634",Foreign Used,"₦ 4,035,000",6-Cylinder(V6),Approx. 3,White, (3.30)
441,Lexus,Lexus RX 350,2013,"199,373",Foreign Used,"₦ 13,015,000",6-Cylinder(V6),Approx. N/A,White, (4.00)
442,Lexus,Lexus RX 350,2013,"121,652",Foreign Used,"₦ 13,515,000",6-Cylinder(I6),Approx. 6,Silver, (4.40)
443,Mercedes-Benz,Mercedes-Benz ML 350,2008,"162,604",Foreign Used,"₦ 7,015,000",6-Cylinder(V6),Approx. N/A,Light Blue, (4.40)
444,Toyota,Toyota Highlander,2010,"91,877",Foreign Used,"₦ 7,755,000",6-Cylinder(V6),Approx. N/A,White, (4.40)
445,Lexus,Lexus RX 350,2010,"36,159",Foreign Used,"₦ 11,015,000",6-Cylinder(I6),Approx. N/A,Dark Grey, (4.00)
446,Toyota,Toyota Venza,2015,"81,175",Foreign Used,"₦ 12,015,000",6-Cylinder(V6),Approx. 1,Dark Blue, (4.00)
447,Toyota,Toyota Camry,2008,"156,000",Locally used,"₦ 2,930,000",4-Cylinder(I4),Approx. 2,Gold, (3.20)
448,Hyundai,Hyundai Elantra,2016,"146,589",Foreign Used,"₦ 6,015,000",4-Cylinder(I4),Approx. 1,Blue, (4.00)
449,Toyota,Toyota Camry,2007,"74,500",Foreign Used,"₦ 4,415,000",4-Cylinder(I4),Approx. N/A,Black, (4.20)
450,Lexus,Lexus RX 350,2009,"63,744",Foreign Used,"₦ 7,965,000",6-Cylinder(V6),Approx. N/A,Black, (4.20)
451,Lexus,Lexus ES 350,2013,"150,048",Foreign Used,"₦ 10,015,000",6-Cylinder(V6),Approx. N/A,White, (4.10)
452,Toyota,Toyota Highlander,2012,"108,423",Foreign Used,"₦ 11,015,000",6-Cylinder(I6),Approx. 2000,Black, (4.50)
453,Toyota,Toyota Camry,2012,"131,316",Foreign Used,"₦ 7,315,000",4-Cylinder(I4),Approx. N/A,Grey, (4.00)
454,Toyota,Toyota Tacoma,2017,"204,790",Foreign Used,"₦ 18,015,000",6-Cylinder(V6),Approx. N/A,Black, (4.00)
455,Lexus,Lexus RX 350,2016,"35,152",Foreign Used,"₦ 24,030,000",6-Cylinder(I6),Approx. 1000,Gold, (4.00)
456,Toyota,Toyota Camry,2007,"109,583",Foreign Used,"₦ 4,215,000",4-Cylinder(I4),Approx. 4,Gold, (4.30)
457,Toyota,Toyota Corolla,2020,"16,543",Foreign Used,"₦ 16,515,000",4-Cylinder(I4),Approx. 2500,Silver, (4.40)
458,Mitsubishi,Mitsubishi Pajero,2020,261,New,"₦ 29,885,000",6-Cylinder(V6),Approx. N/A,Black,
459,Hyundai,Hyundai Elantra,2012,"180,748",Foreign Used,"₦ 4,815,000",4-Cylinder(I4),Approx. 1,Grey, (4.30)
460,Toyota,Toyota Highlander,2013,"76,254",Locally used,"₦ 12,515,000",6-Cylinder(I6),Approx. N/A,Black, (3.30)
461,Toyota,Toyota Corolla,2009,"240,450",Foreign Used,"₦ 5,215,000",4-Cylinder(I4),Approx. 1,Gold, (4.00)
462,Toyota,Toyota Highlander,2013,"86,000",Foreign Used,"₦ 12,030,000",6-Cylinder(I6),Approx. 3,Black, (4.40)
463,Toyota,Toyota Sienna,2015,"90,574",Foreign Used,"₦ 13,015,000",6-Cylinder(V6),Approx. 3500,White, (4.00)
464,Nissan,Nissan Altima,2019,"21,156",Foreign Used,"₦ 18,530,000",4-Cylinder(I4),Approx. N/A,Dark Grey, (4.30)
465,Lexus,Lexus ES 350,2014,"67,155",Foreign Used,"₦ 11,015,000",6-Cylinder(V6),Approx. 5000,Silver, (4.40)
466,Toyota,Toyota RAV 4,2009,"75,836",Locally used,"₦ 7,515,000",4-Cylinder(I4),Approx. N/A,Red, (4.40)
467,Volvo,Volvo C70,2008,"78,000",Foreign Used,"₦ 2,030,000",6-Cylinder(V6),Approx. N/A,White, (4.40)
468,Lexus,Lexus IS 250,2015,"98,875",Foreign Used,"₦ 10,015,000",6-Cylinder(V6),Approx. N/A,Black, (4.30)
469,Kia,Kia Rio,2012,"131,793",Locally used,"₦ 2,015,000",4-Cylinder(I4),Approx. N/A,Grey, (3.10)
470,Toyota,Toyota Venza,2013,"172,079",Foreign Used,"₦ 12,615,000",4-Cylinder(I4),Approx. 1000,Silver, (4.20)
471,Nissan,Nissan Murano,2010,"98,110",Foreign Used,"₦ 4,765,000",6-Cylinder(I6),Approx. N/A,Dark Blue, (4.50)
472,Mercedes-Benz,Mercedes-Benz GLA 250,2019,"54,643",Foreign Used,"₦ 19,615,000",4-Cylinder(I4),Approx. N/A,Black, (4.20)
473,Toyota,Toyota Camry,2020,"34,864",Foreign Used,"₦ 20,130,000",4-Cylinder(I4),Approx. N/A,White, (4.20)
474,Toyota,Toyota Camry,2010,"96,000",Locally used,"₦ 5,465,000",4-Cylinder(I4),Approx. 2,Grey, (4.00)
475,Honda,Honda Pilot,2011,"103,755",Foreign Used,"₦ 5,715,000",6-Cylinder(V6),Approx. N/A,Red, (4.50)
476,Mercedes-Benz,Mercedes-Benz GLE 350,2016,"55,000",Foreign Used,"₦ 25,030,000",6-Cylinder(V6),Approx. 5000,Black, (4.00)
477,Toyota,Toyota Venza,2011,"145,556",Foreign Used,"₦ 8,745,000",4-Cylinder(I4),Approx. 4,White, (4.30)
478,Toyota,Toyota Corolla,2009,"180,008",Locally used,"₦ 2,865,000",4-Cylinder(I4),Approx. 2,Black, (3.10)
479,Toyota,Toyota RAV 4,2014,"172,196",Foreign Used,"₦ 10,030,000",4-Cylinder(I4),Approx. N/A,Grey, (4.30)
480,Kia,Kia PEGAS,2022,0,New,"₦ 9,915,000",4-Cylinder(I4),Approx. 1,Red,
481,Volkswagen,Volkswagen Golf,2006,"109,523",Locally used,"₦ 3,030,000",6-Cylinder(V6),Approx. N/A,Silver, (3.90)
482,Toyota,Toyota Fortuner,2022,33,New,"₦ 32,145,000",4-Cylinder(I4),Approx. N/A,Black,
483,Lexus,Lexus ES 350,2010,"110,388",Foreign Used,"₦ 6,815,000",6-Cylinder(V6),Approx. N/A,Dark Grey, (4.00)
484,Toyota,Toyota RAV 4,2012,"112,589",Foreign Used,"₦ 7,515,000",4-Cylinder(I4),Approx. 4,Black, (4.30)
485,Lexus,Lexus RX 350,2019,"27,179",Foreign Used,"₦ 26,865,000",6-Cylinder(V6),Approx. 3,Grey, (4.50)
486,Mercedes-Benz,Mercedes-Benz GLK 350,2012,"83,035",Foreign Used,"₦ 9,545,000",6-Cylinder(I6),Approx. 2500,Black, (4.00)
487,Kia,Kia Sorento 3.5l EX,2022,0,New,"₦ 32,415,000",6-Cylinder(I6),Approx. N/A,White And Orange,
488,Kia,Kia Sorento,2022,0,New,"₦ 32,430,000",6-Cylinder(I6),Approx. N/A,White,
489,Kia,Kia Sportage,2022,0,New,"₦ 27,105,000",4-Cylinder(I4),Approx. N/A,Black,
490,Kia,Kia Seltos,2022,0,New,"₦ 20,085,000",4-Cylinder(I4),Approx. N/A,Red,
491,Kia,Kia Sonet,2022,0,New,"₦ 18,015,000",4-Cylinder(I4),Approx. N/A,Red,
492,Kia,Kia Quoris K900 GLS,2022,0,New,"₦ 46,815,000",6-Cylinder(I6),Approx. N/A,Black,
493,Kia,Kia K5,2022,0,New,"₦ 25,215,000",4-Cylinder(I4),Approx. N/A,Blue,
494,Kia,Kia Rio,2022,0,New,"₦ 14,415,000",4-Cylinder(I4),Approx. N/A,Blue,
495,Kia,Kia Cerato,2022,0,New,"₦ 19,815,000",4-Cylinder(I4),Approx. N/A,Black,
496,Land,Land Rover range rover Hse,2018,"44,547",Foreign Used,"₦ 64,515,000",6-Cylinder(V6),Approx. 6,Black, (4.50)
497,Ford,Ford Edge TIT. 3.5L,2016,"113,023",Foreign Used,"₦ 10,330,000",6-Cylinder(V6),Approx. N/A,White, (4.00)
498,Mercedes-Benz,Mercedes-Benz GLK 350,2013,"126,925",Foreign Used,"₦ 10,815,000",6-Cylinder(I6),Approx. 3300,White, (4.00)
499,Toyota,Toyota Highlander,2015,"91,463",Foreign Used,"₦ 16,515,000",6-Cylinder(V6),Approx. N/A,Brown, (4.50)
500,Lexus,Lexus ES 350,2010,"174,606",Foreign Used,"₦ 6,530,000",6-Cylinder(V6),Approx. N/A,Dark Grey, (4.00)
501,Foton,Foton View C2 2.2L P Minibus,2020,25,New,"₦ 16,015,000",4-Cylinder(I4),Approx. N/A,White,
